Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Coverage [%],# Peptides,# PSMs,# Unique Peptides,Sum PEP Score,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Protein Groups
FALSE,High,Master Protein,O75164,Lysine-specific demethylase 4A OS=Homo sapiens OX=9606 GN=KDM4A PE=1 SV=2,51,47,82,45,320.5,1064,120.6,5.85,197.6,47,1
FALSE,High,Master Protein,O94953,Lysine-specific demethylase 4B OS=Homo sapiens OX=9606 GN=KDM4B PE=1 SV=4,59,46,83,42,310.151,1096,121.8,7.09,188.98,46,1
FALSE,High,Master Protein,Q15652,Probable JmjC domain-containing histone demethylation protein 2C OS=Homo sapiens OX=9606 GN=JMJD1C PE=1 SV=2,23,43,66,43,288.903,2540,284.3,7.87,157.24,43,1
FALSE,High,Master Protein,P07814,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS1 PE=1 SV=5,41,43,51,43,217.326,1512,170.5,7.33,105.27,43,1
FALSE,High,Master Protein,Q9UPP1,Histone lysine demethylase PHF8 OS=Homo sapiens OX=9606 GN=PHF8 PE=1 SV=3,53,41,101,38,323.552,1060,117.8,8.72,188.38,41,1
FALSE,High,Master Protein,O60341,Lysine-specific histone demethylase 1A OS=Homo sapiens OX=9606 GN=KDM1A PE=1 SV=2,77,40,95,40,400.962,852,92.8,6.52,239.34,40,1
FALSE,High,Master Protein,P04264,"Keratin, type II cytoskeletal 1 CONTAMINANT OS=Homo sapiens GN=KRT1 PE=1 SV=6",55,40,105,36,347.297,644,66,8.12,287.2,40,1
FALSE,High,Master Protein,P51659,Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3,69,39,98,39,329.983,736,79.6,8.84,252.28,39,1
FALSE,High,Master Protein,Q8N371,Bifunctional peptidase and arginyl-hydroxylase JMJD5 OS=Homo sapiens OX=9606 GN=KDM8 PE=1 SV=1,81,37,176,37,338.71,416,47.2,5.8,382.64,37,1
FALSE,High,Master Protein,Q9H6W3,Ribosomal oxygenase 1 OS=Homo sapiens OX=9606 GN=RIOX1 PE=1 SV=2,69,35,120,35,477.128,641,71,6.46,319.35,35,1
FALSE,High,Master Protein,Q99832,T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2,69,35,88,35,302.318,543,59.3,7.65,212.71,35,1
FALSE,High,Master Protein,P48643,T-complex protein 1 subunit epsilon OS=Homo sapiens OX=9606 GN=CCT5 PE=1 SV=1,71,35,78,34,296.872,541,59.6,5.66,190.78,35,1
FALSE,High,Master Protein,P50990,T-complex protein 1 subunit theta OS=Homo sapiens OX=9606 GN=CCT8 PE=1 SV=4,68,35,82,35,276.146,548,59.6,5.6,167.75,35,1
FALSE,High,Master Protein,P55060,Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3,51,34,53,34,218.704,971,110.3,5.77,125.31,34,1
FALSE,High,Master Protein,Q71U36,Tubulin alpha-1A chain OS=Homo sapiens OX=9606 GN=TUBA1A PE=1 SV=1,84,33,189,2,510.219,451,50.1,5.06,453.77,33,1
FALSE,High,Master Protein,Q9BQE3,Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1,84,33,176,3,459.614,449,49.9,5.1,417.3,33,1
FALSE,High,Master Protein,P41252,"Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS1 PE=1 SV=2",36,33,37,33,135.076,1262,144.4,6.15,77.14,33,1
FALSE,High,Master Protein,A0A7I2V461,Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1,41,32,48,32,166.751,1056,121.5,5.97,86.27,32,1
FALSE,High,Master Protein,A0A7P0T9C4,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=1,9,32,33,32,97.175,4672,534.7,6.51,28.46,32,1
FALSE,High,Master Protein,P07437,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2,72,31,262,5,454.705,444,49.6,4.89,577.74,31,1
FALSE,High,Master Protein,Q9UBN7,Histone deacetylase 6 OS=Homo sapiens OX=9606 GN=HDAC6 PE=1 SV=2,54,31,103,31,398.656,1215,131.3,5.3,261.11,31,1
FALSE,High,Master Protein,Q8IUF8,Ribosomal oxygenase 2 OS=Homo sapiens OX=9606 GN=RIOX2 PE=1 SV=1,62,31,210,31,381.065,465,52.8,6.7,524.29,31,1
FALSE,High,Master Protein,P50991,T-complex protein 1 subunit delta OS=Homo sapiens OX=9606 GN=CCT4 PE=1 SV=4,72,31,76,30,228.28,539,57.9,7.83,163.67,31,1
FALSE,High,Master Protein,Q92833,Protein Jumonji OS=Homo sapiens OX=9606 GN=JARID2 PE=1 SV=2,32,31,57,31,212.843,1246,138.6,9.38,133.09,31,1
FALSE,High,Master Protein,P11021,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,43,31,50,29,198.363,654,72.3,5.16,113.47,31,1
FALSE,High,Master Protein,P35527,"Keratin, type I cytoskeletal 9 CONTAMINANT OS=Homo sapiens GN=KRT9 PE=1 SV=3",54,30,62,29,321.538,623,62,5.24,204.98,30,1
FALSE,High,Master Protein,P04350,Tubulin beta-4A chain OS=Homo sapiens OX=9606 GN=TUBB4A PE=1 SV=2,73,29,203,6,408.564,444,49.6,4.88,482.82,29,1
FALSE,High,Master Protein,Q6NYC1,Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6 OS=Homo sapiens OX=9606 GN=JMJD6 PE=1 SV=1,56,29,192,29,326.426,403,46.4,8.69,483.48,29,1
FALSE,High,Master Protein,Q13885,Tubulin beta-2A chain OS=Homo sapiens OX=9606 GN=TUBB2A PE=1 SV=1,75,29,204,1,312.114,445,49.9,4.89,414.78,29,1
FALSE,High,Master Protein,Q9BVA1,Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1,75,29,204,1,312.094,445,49.9,4.89,414.95,29,1
FALSE,High,Master Protein,O95071,E3 ubiquitin-protein ligase UBR5 OS=Homo sapiens OX=9606 GN=UBR5 PE=1 SV=2,15,29,32,29,107.227,2799,309.2,5.85,40.94,29,1
FALSE,High,Master Protein,Q93008,Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Homo sapiens OX=9606 GN=USP9X PE=1 SV=4,15,29,29,29,78.992,2554,290.3,5.8,22.87,29,1
FALSE,High,Master Protein,P78371,T-complex protein 1 subunit beta OS=Homo sapiens OX=9606 GN=CCT2 PE=1 SV=4,64,28,73,28,235.101,535,57.5,6.46,173.51,28,1
FALSE,High,Master Protein,B4DUR8,T-complex protein 1 subunit gamma OS=Homo sapiens OX=9606 GN=CCT3 PE=1 SV=1,73,28,70,28,207.843,500,55.6,5.64,178.36,28,1
FALSE,High,Master Protein,P17987,T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1,73,28,67,28,202.378,556,60.3,6.11,155.62,28,1
FALSE,High,Master Protein,A0A1B0GVI3,"Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=2",48,28,56,22,176.038,624,63.3,5.26,125,28,1
FALSE,High,Master Protein,P25205,DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3,43,28,37,28,145.971,808,90.9,5.77,72.44,28,1
FALSE,High,Master Protein,Q9NR30,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,46,28,35,26,139.809,783,87.3,9.28,86.01,28,1
FALSE,High,Master Protein,O95373,Importin-7 OS=Homo sapiens OX=9606 GN=IPO7 PE=1 SV=1,30,28,31,27,123.865,1038,119.4,4.82,61.87,28,1
FALSE,High,Master Protein,P13639,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,44,28,38,28,123.058,858,95.3,6.83,69.6,28,1
FALSE,High,Master Protein,Q6B0I6,Lysine-specific demethylase 4D OS=Homo sapiens OX=9606 GN=KDM4D PE=1 SV=3,68,27,75,25,358.912,523,58.6,9.16,222.26,27,1
FALSE,High,Master Protein,P36578,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,53,27,61,27,258.024,427,47.7,11.06,161.68,27,1
FALSE,High,Master Protein,P40227,T-complex protein 1 subunit zeta OS=Homo sapiens OX=9606 GN=CCT6A PE=1 SV=3,68,27,64,27,217.415,531,58,6.68,146.58,27,1
FALSE,High,Master Protein,P33992,DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5,49,27,38,27,158.847,734,82.2,8.37,87.39,27,1
FALSE,High,Master Protein,Q08211,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,29,27,34,27,152.07,1270,140.9,6.84,75.53,27,1
FALSE,High,Master Protein,A0A087X0X3,Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=1,53,27,47,27,143.63,730,77.5,8.78,81.15,27,1
FALSE,High,Master Protein,P38646,"Stress-70 protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPA9 PE=1 SV=2",47,26,43,26,178.666,679,73.6,6.16,90.81,26,1
FALSE,High,Master Protein,P07900,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,40,26,37,16,159.202,732,84.6,5.02,78.68,26,1
FALSE,High,Master Protein,P35908,"Keratin, type II cytoskeletal 2 epidermal CONTAMINANT OS=Homo sapiens GN=KRT2 PE=1 SV=2",55,26,40,21,136.177,639,65.4,8,89.9,26,1
FALSE,High,Master Protein,O43143,ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2,37,26,41,26,132.866,795,90.9,7.46,71.1,26,1
FALSE,High,Master Protein,P19338,Nucleolin OS=Homo sapiens OX=9606 GN=NCL PE=1 SV=3,38,26,43,26,124.127,710,76.6,4.7,84.03,26,1
FALSE,High,Master Protein,Q9BQG0,Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2,26,26,32,26,119.616,1328,148.8,9.28,49.56,26,1
FALSE,High,Master Protein,O15027,Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=4,21,26,29,26,110.448,2357,251.7,5.8,51.03,26,1
FALSE,High,Master Protein,Q92945,Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,50,25,52,25,233.182,711,73.1,7.3,131.43,25,1
FALSE,High,Master Protein,P53618,Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3,40,25,32,25,155.408,953,107.1,6.05,72.48,25,1
FALSE,High,Master Protein,Q13049,E3 ubiquitin-protein ligase TRIM32 OS=Homo sapiens OX=9606 GN=TRIM32 PE=1 SV=2,46,25,35,25,154.255,653,71.9,6.98,101.62,25,1
FALSE,High,Master Protein,O00410,Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4,35,25,33,24,132.427,1097,123.6,4.94,51.55,25,1
FALSE,High,Master Protein,O14654,Insulin receptor substrate 4 OS=Homo sapiens OX=9606 GN=IRS4 PE=1 SV=1,25,25,32,25,128.367,1257,133.7,8.44,64.57,25,1
FALSE,High,Master Protein,F5H2F4,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=2",38,25,27,25,113.399,964,104.6,7.59,47.57,25,1
FALSE,High,Master Protein,P06737,"Glycogen phosphorylase, liver form OS=Homo sapiens OX=9606 GN=PYGL PE=1 SV=4",38,25,26,22,87.24,847,97.1,7.17,39.43,25,1
FALSE,High,Master Protein,P49792,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2,13,25,27,25,74.344,3224,358,6.2,24.1,25,1
FALSE,High,Master Protein,P08238,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,39,24,34,13,161.957,724,83.2,5.03,88.99,24,1
FALSE,High,Master Protein,Q7L014,Probable ATP-dependent RNA helicase DDX46 OS=Homo sapiens OX=9606 GN=DDX46 PE=1 SV=2,36,24,28,24,85.935,1031,117.3,9.29,38.56,24,1
FALSE,High,Master Protein,P68366,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1,54,23,143,3,300.76,448,49.9,5.06,327.65,23,1
FALSE,High,Master Protein,O43175,D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4,52,23,51,23,167.848,533,56.6,6.71,106.73,23,1
FALSE,High,Master Protein,A0A7I2V599,60 kDa chaperonin OS=Homo sapiens OX=9606 GN=HSPD1 PE=1 SV=1,53,23,32,23,150.657,537,57.8,7.77,86.27,23,1
FALSE,High,Master Protein,Q9Y230,RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,57,23,31,23,112.671,463,51.1,5.64,61.16,23,1
FALSE,High,Master Protein,Q01813,"ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens OX=9606 GN=PFKP PE=1 SV=2",45,23,27,21,103.567,784,85.5,7.55,55.97,23,1
FALSE,High,Master Protein,Q9HAV4,Exportin-5 OS=Homo sapiens OX=9606 GN=XPO5 PE=1 SV=1,27,23,27,23,97.652,1204,136.2,5.8,50.44,23,1
FALSE,High,Master Protein,J3KN16,Proteasome adapter and scaffold protein ECM29 OS=Homo sapiens OX=9606 GN=ECPAS PE=1 SV=1,17,23,25,23,92.191,2017,223.6,8.75,35.3,23,1
FALSE,High,Master Protein,Q7LBC6,Lysine-specific demethylase 3B OS=Homo sapiens OX=9606 GN=KDM3B PE=1 SV=2,20,23,27,21,91.68,1761,191.5,7.18,43.09,23,1
FALSE,High,Master Protein,O00571,ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3,44,22,39,21,175.819,662,73.2,7.18,101.17,22,1
FALSE,High,Master Protein,Q14974,Importin subunit beta-1 OS=Homo sapiens OX=9606 GN=KPNB1 PE=1 SV=2,37,22,34,22,132.719,876,97.1,4.78,71.97,22,1
FALSE,High,Master Protein,P17812,CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2,50,22,33,21,131.03,591,66.6,6.46,68.8,22,1
FALSE,High,Master Protein,H0Y938,Coatomer subunit beta' OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2,41,22,28,22,122.797,898,101.5,5.82,58.54,22,1
FALSE,High,Master Protein,P33993,DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4,41,22,26,22,95.283,719,81.3,6.46,46.27,22,1
FALSE,High,Master Protein,Q13439,Golgin subfamily A member 4 OS=Homo sapiens OX=9606 GN=GOLGA4 PE=1 SV=1,14,22,24,22,83.737,2230,261,5.39,31.74,22,1
FALSE,High,Master Protein,O14744,Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4,43,21,29,21,162.814,637,72.6,6.29,87.51,21,1
FALSE,High,Master Protein,P54136,"Arginine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=RARS1 PE=1 SV=2",38,21,25,21,92.189,660,75.3,6.68,40.21,21,1
FALSE,High,Master Protein,P21333,Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4,12,21,22,19,78.707,2647,280.6,6.06,28.34,21,1
FALSE,High,Master Protein,Q16531,DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1,22,21,24,21,75.798,1140,126.9,5.26,35.56,21,1
FALSE,High,Master Protein,Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,56,20,64,8,161.92,446,49.8,4.88,127.9,20,1
FALSE,High,Master Protein,A0A7P0TAQ9,DnaJ homolog subfamily C member 10 OS=Homo sapiens OX=9606 GN=DNAJC10 PE=1 SV=1,35,20,30,20,158.365,768,87.9,7.09,88.9,20,1
FALSE,High,Master Protein,Q00839,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6,39,20,31,20,151.137,825,90.5,6,75.2,20,1
FALSE,High,Master Protein,O60313,"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens OX=9606 GN=OPA1 PE=1 SV=3",24,20,22,1,86.274,960,111.6,7.87,41.97,20,1
FALSE,High,Master Protein,E5KLJ9,"Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens OX=9606 GN=OPA1 PE=1 SV=1",24,20,22,1,85.789,979,113.6,7.88,39.78,20,1
FALSE,High,Master Protein,O75643,U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2,13,20,22,20,70.799,2136,244.4,6.06,28.81,20,1
FALSE,High,Master Protein,A0A6I8PL42,Leucyl-tRNA synthetase OS=Homo sapiens OX=9606 GN=LARS1 PE=1 SV=1,25,20,22,20,68.496,1130,129.1,7.87,23.11,20,1
FALSE,High,Master Protein,P09874,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,26,20,24,20,67.771,1014,113,8.88,22.04,20,1
FALSE,High,Master Protein,P68104,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,57,19,75,19,244.94,462,50.1,9.01,190.75,19,1
FALSE,High,Master Protein,O43813,Glutathione S-transferase LANCL1 OS=Homo sapiens OX=9606 GN=LANCL1 PE=1 SV=1,59,19,46,19,182.701,399,45.3,7.75,104.41,19,1
FALSE,High,Master Protein,B2RXH2,Lysine-specific demethylase 4E OS=Homo sapiens OX=9606 GN=KDM4E PE=1 SV=1,52,19,44,17,180.454,506,56.8,7.84,101.73,19,1
FALSE,High,Master Protein,A0A0B4J269,G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Homo sapiens OX=9606 PE=1 SV=1,24,19,107,3,171.131,797,88.3,5.86,194.53,19,1
FALSE,High,Master Protein,Q9Y265,RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,58,19,30,19,142.597,456,50.2,6.42,77.43,19,1
FALSE,High,Master Protein,Q9Y383,Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=1 SV=2,40,19,33,14,103.756,392,46.5,10.01,61.87,19,1
FALSE,High,Master Protein,P56192,"Methionine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=MARS1 PE=1 SV=2",29,19,25,19,100.469,900,101.1,6.16,46.32,19,1
FALSE,High,Master Protein,A0A0J9YXX5,60 kDa poly(U)-binding-splicing factor (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1,54,19,25,1,99.62,551,59.1,5.29,48.86,19,1
FALSE,High,Master Protein,A0A0J9YYL3,60 kDa poly(U)-binding-splicing factor (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1,56,19,27,1,97.512,505,54.6,5.34,49.99,19,1
FALSE,High,Master Protein,Q92973,Transportin-1 OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=2,30,19,26,16,82.257,898,102.3,4.98,35.31,19,1
FALSE,High,Master Protein,Q9NVI1,Fanconi anemia group I protein OS=Homo sapiens OX=9606 GN=FANCI PE=1 SV=4,17,19,20,19,68.46,1328,149.2,6.74,32.61,19,1
FALSE,High,Master Protein,A8MXP9,Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1,25,19,21,19,66.362,895,99.9,6.04,27.41,19,1
FALSE,High,Master Protein,Q6P2Q9,Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,11,19,21,19,65.247,2335,273.4,8.84,26.59,19,1
FALSE,High,Master Protein,Q9NU22,Midasin OS=Homo sapiens OX=9606 GN=MDN1 PE=1 SV=2,4,19,19,19,44.117,5596,632.4,5.68,8.72,19,1
FALSE,High,Master Protein,P31689,DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2,62,18,37,18,222.408,397,44.8,7.08,122.98,18,1
FALSE,High,Master Protein,P39023,60S ribosomal protein L3 OS=Homo sapiens OX=9606 GN=RPL3 PE=1 SV=2,45,18,48,18,179.534,403,46.1,10.18,135.07,18,1
FALSE,High,Master Protein,P17858,"ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens OX=9606 GN=PFKL PE=1 SV=6",34,18,24,16,105.093,780,85,7.5,51.28,18,1
FALSE,High,Master Protein,P23396,40S ribosomal protein S3 OS=Homo sapiens OX=9606 GN=RPS3 PE=1 SV=2,70,18,28,18,102.083,243,26.7,9.66,68.25,18,1
FALSE,High,Master Protein,A0A5H1ZRQ2,RNA helicase OS=Homo sapiens OX=9606 GN=DDX17 PE=1 SV=2,30,18,24,13,85.585,731,80.4,8.37,51.34,18,1
FALSE,High,Master Protein,Q9NZI8,Insulin-like growth factor 2 mRNA-binding protein 1 OS=Homo sapiens OX=9606 GN=IGF2BP1 PE=1 SV=2,36,18,25,16,81.909,577,63.4,9.2,44.42,18,1
FALSE,High,Master Protein,P09661,U2 small nuclear ribonucleoprotein A' OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2,51,18,34,18,75.252,255,28.4,8.62,53.93,18,1
FALSE,High,Master Protein,J3KTA4,DEAD box protein 5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1,35,18,22,13,73.623,614,69,8.85,46.7,18,1
FALSE,High,Master Protein,C9J2Y9,DNA-directed RNA polymerase subunit beta OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=2,22,18,19,18,67.879,1167,133,7.15,28.23,18,1
FALSE,High,Master Protein,P14868,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2",43,18,20,18,63.927,501,57.1,6.55,38.25,18,1
FALSE,High,Master Protein,Q9UPU5,Ubiquitin carboxyl-terminal hydrolase 24 OS=Homo sapiens OX=9606 GN=USP24 PE=1 SV=3,10,18,18,18,60.609,2620,294.2,6.14,19.32,18,1
FALSE,High,Master Protein,Q9BSJ8,Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,23,18,21,18,58.469,1104,122.8,5.83,19.09,18,1
FALSE,High,Master Protein,Q13263,Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5,34,17,25,17,100.952,835,88.5,5.77,59.96,17,1
FALSE,High,Master Protein,Q8WUA2,Peptidyl-prolyl cis-trans isomerase-like 4 OS=Homo sapiens OX=9606 GN=PPIL4 PE=1 SV=1,46,17,22,17,97.022,492,57.2,5.92,48.95,17,1
FALSE,High,Master Protein,P22102,Trifunctional purine biosynthetic protein adenosine-3 OS=Homo sapiens OX=9606 GN=GART PE=1 SV=1,28,17,19,17,85.461,1010,107.7,6.7,41.9,17,1
FALSE,High,Master Protein,Q15046,Lysine--tRNA ligase OS=Homo sapiens OX=9606 GN=KARS1 PE=1 SV=3,39,17,19,17,75.612,597,68,6.35,39.62,17,1
