"","Accession","HCC1806_Rep1","HCC1806_Rep2","HCC1806_Rep3","HCC1806_Rep4","MCF10A_Rep1","MCF10A_Rep2","MCF10A_Rep3","MCF10A_Rep4","MCF7_Rep1","MCF7_Rep2","MCF7_Rep3","MCF7_Rep4","MDAMB231_Rep1","MDAMB231_Rep2","MDAMB231_Rep3","MDAMB231_Rep4","Description","hcc1806_mean","hcc1806_sd","mcf7_mean","mcf7_sd","mdam_mean","mdam_sd","mcf10a_mean","mcf10a_sd","mcf10_fc_mdamb231","mcf10_fc_mcf7","mcf10_fc_hcc","fc_mdamb_v_mcf7","fc_mdamb_v_hcc","fc_mdamb_v_mcf10","fc_mcf7_v_hcc","fc_mcf7_v_mcf10","fc_hcc_v_mcf10","MCF10A-HCC1806","MCF7-HCC1806","MDAMB231-HCC1806","MCF7-MCF10A","MDAMB231-MCF10A","MDAMB231-MCF7","p.t_mdam_mcf7","p.t_mdam_hcc","p.t_mdam_mcf10","p.t_mcf7_hcc","p.t_mcf7_mcf10","p.t_hcc_mcf10"
"12","O00469",1383.2,1399.1,1324,1803.8,10277.5,11684.8,7001.5,10421.2,2151.6,2259.9,2154.8,2527.6,3275.8,2428.4,3642.3,3746.5,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens OX=9606 GN=PLOD2 PE=1 SV=2",1477.525,219.903757357622,2273.475,176.730555271766,3273.25,598.314713730714,9846.25,1999.11753281292,0.332436206677669,0.230897549828615,0.150059667386061,1.43975632017066,2.21536014619042,0.332436206677669,1.53870492885061,0.230897549828615,0.150059667386061,5.26335171113779e-07,0.713810161922186,0.127484548887975,1.5641436821312e-06,7.04539208495891e-06,0.555234061917335,"ns","ns","Up in MCF10A","ns","Up in MCF10A","Up in MCF10A"
"13","P15144",4625.7,3845.9,3366.5,6351.6,120143.2,118118.3,101996.1,111454.9,3642.1,4840.6,4611.4,6279.3,7122.4,3700.6,8781.5,10633.1,"Aminopeptidase N OS=Homo sapiens OX=9606 GN=ANPEP PE=1 SV=4",4547.425,1309.94854701753,4843.35,1089.15293232861,7559.4,2945.19193149332,112928.125,8178.72822810287,0.0669399230705371,0.0428887843484517,0.0402683122561364,1.56077921273499,1.66234737241406,0.0669399230705371,1.06507528986184,0.0428887843484517,0.0402683122561364,1.25355281710426e-12,0.999679848839633,0.772988807246279,1.27631238910908e-12,1.50546242139171e-12,0.821420412269384,"ns","ns","Up in MCF10A","ns","Up in MCF10A","Up in MCF10A"
"14","Q13451",1567.2,1918.6,1833.4,1701.7,10168.9,9250.3,16816.1,10789.4,1961.9,2295.5,2766.4,2765.2,2436.5,3360,2580.3,2566.3,"Peptidyl-prolyl cis-trans isomerase FKBP5 OS=Homo sapiens OX=9606 GN=FKBP5 PE=1 SV=2",1755.225,153.862544174988,2447.25,392.233608112988,2735.775,421.155801535093,11756.175,3432.0230354462,0.23270961856216,0.208167197238898,0.149302387894022,1.1178976402084,1.55864632739392,0.23270961856216,1.39426569243259,0.208167197238898,0.149302387894022,1.67231248722199e-05,0.941453131520153,0.854837735677518,3.45065402983513e-05,4.71737622850243e-05,0.995223530428737,"ns","ns","Up in MCF10A","ns","Up in MCF10A","Up in MCF10A"
"15","O60716",15431.1,12817.3,14520.3,12200.3,6760.4,6605.7,6897.7,6783.8,6329.4,6446.3,6722.3,6729.5,7485.8,6912.6,6898.2,8005.3,"Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",13742.25,1493.39863287291,6556.875,200.94487428148,7325.475,529.432346165841,6761.9,120.169241766213,1.08334565728567,0.969679380055901,2.0323060086662,1.11722047469259,0.533062271462097,1.08334565728567,0.477132565627899,0.969679380055901,2.0323060086662,1.8901589704523e-07,1.36477295908932e-07,4.81840283450552e-07,0.982979091271226,0.75492151641913,0.546974547047795,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"16","Q9Y4L1",38813.6,41573.7,42172.3,38946.2,22661,24214.1,21693,23166.5,24583.3,25290.7,26038.7,23725.7,23430.2,25858.6,24856.6,21431.9,"Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1",40376.45,1746.10041425648,24909.6,987.960005938162,23894.325,1920.35572637815,22933.65,1049.97170914268,1.04188931984224,1.08615942076381,1.76057670715303,0.959241617689565,0.591788654029762,1.04188931984224,0.616933881012323,1.08615942076381,1.76057670715303,6.52847642612642e-09,2.48847764616755e-08,1.21654578633112e-08,0.285446891368612,0.797352884481912,0.770066408690128,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"17","P16422",8347.4,8472.1,9850.9,4305.1,1080.1,1035.3,1149.3,1056.1,6461.5,5596.9,8095.5,6855.1,1531.5,1621.8,1632.7,1619.3,"Epithelial cell adhesion molecule OS=Homo sapiens OX=9606 GN=EPCAM PE=1 SV=2",7743.875,2391.60210789755,6752.25,1038.31078680711,1601.325,46.9121430619692,1080.2,49.570286798982,1.48243380855397,6.25092575448991,7.1689270505462,0.237154281906031,0.20678600829688,1.48243380855397,0.871947184064825,6.25092575448991,7.1689270505462,5.3869785529459e-05,0.71027413370399,0.000118480452824921,0.000249824903053475,0.940536589732915,0.000593545680335428,"Up in MCF7","Up in HCC1806","ns","ns","Up in MCF7","Up in HCC1806"
"18","P50479",1761.2,1979.1,1801.7,1829.3,5095,4081.2,5528.1,4667.7,735.8,929.9,799.8,924.6,2227,2672.8,2217.8,2490.6,"PDZ and LIM domain protein 4 OS=Homo sapiens OX=9606 GN=PDLIM4 PE=1 SV=2",1842.825,95.0573642596932,847.525,95.7189418732433,2402.05,220.406616658091,4843,617.504477716559,0.495983894280405,0.175,0.380513111707619,2.83419368160231,1.30346071927611,0.495983894280405,0.459905308425922,0.175,0.380513111707619,1.37942333555685e-07,0.00579037668385485,0.137984601323593,5.49805345695376e-09,1.34647166472046e-06,0.000135380838839239,"Up in MDAMB231","ns","Up in MCF10A","Up in HCC1806","Up in MCF10A","Up in MCF10A"
"19","Q15847",18306.4,12727.6,14523.1,23087.6,2653.8,3008.5,2140.5,2929.1,2220.2,2623.7,2240.2,2236.4,2918.3,1925.7,3367.6,2795.4,"Adipogenesis regulatory factor OS=Homo sapiens OX=9606 GN=ADIRF PE=1 SV=1",17161.175,4584.39674575619,2330.125,195.908709607307,2751.75,603.123550084613,2682.975,392.290006457808,1.02563385793755,0.868485543100476,6.39632311147141,1.18094522826029,0.160347412109019,1.02563385793755,0.135778872950133,0.868485543100476,6.39632311147141,7.14814040314593e-06,5.55367478671798e-06,7.51258750697481e-06,0.996299872197845,0.999972026798835,0.993744762895638,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"20","Q9BWU0",2374.6,2932.4,3125.5,2518.6,1115.2,1139.9,1195.5,1079.7,1407.3,1558.6,1812.9,1686.1,1724,1787.2,1822.3,1533.8,"Kanadaptin OS=Homo sapiens OX=9606 GN=SLC4A1AP PE=1 SV=1",2737.775,350.306212477027,1616.225,173.718035429063,1716.825,128.617323224103,1132.575,48.6856156032423,1.51585987682935,1.42703573714765,2.41730128247577,1.06224380887562,0.627087689821114,1.51585987682935,0.590342522668956,1.42703573714765,2.41730128247577,6.99386388580692e-07,3.04717560004608e-05,7.70031481456268e-05,0.0280861078115966,0.00845302073548704,0.900277442630284,"ns","Up in HCC1806","Up in MDAMB231","Up in HCC1806","Up in MCF7","Up in HCC1806"
"21","P80723",200.1,215.2,165.8,177.8,506.4,614.3,775.3,657,1037.7,1121.9,1384.7,1170.3,845.7,880.4,728.1,731.9,"Brain acid soluble protein 1 OS=Homo sapiens OX=9606 GN=BASP1 PE=1 SV=2",189.725,22.1451838255334,1178.65,147.88936179906,796.525,78.1271773029932,638.25,111.19395966808,1.24798276537407,1.8466901684293,0.29725812769291,0.675794340983328,4.19831334826723,1.24798276537407,6.21241270259586,1.8466901684293,0.29725812769291,0.000206764330534681,5.07363255852766e-08,1.0536556855012e-05,3.42501833252573e-05,0.174168197871881,0.000863767449813313,"Up in MCF7","Up in MDAMB231","ns","Up in MCF7","Up in MCF7","Up in MCF10A"
"22","P51659",2613,2325.3,2327.2,3704.6,10405,11140,8339.9,10425.7,12594.1,13778.1,12339.9,13138.4,7871.7,6189.8,7980,8111.2,"Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3",2742.525,655.473515229004,12962.625,637.57180706699,7538.175,904.234675936876,10077.65,1207.84372747471,0.748009208496028,1.28627457790259,0.272139338040118,0.581531518500304,2.7486258101567,0.748009208496028,4.72652938441764,1.28627457790259,0.272139338040118,3.19767510248425e-07,7.61002039162406e-09,2.91089818296175e-05,0.0028336086062325,0.00730187682396954,8.25085413314053e-06,"Up in MCF7","Up in MDAMB231","Up in MCF10A","Up in MCF7","Up in MCF7","Up in MCF10A"
"23","P05120",14236.9,16316.7,16507,16593.1,2874.7,3054.9,2241.8,2287.7,2607.2,2586.7,2443.5,2455.4,2784.3,2143.7,3335.9,5030.7,"Plasminogen activator inhibitor 2 OS=Homo sapiens OX=9606 GN=SERPINB2 PE=1 SV=2",15913.425,1123.6334199818,2523.2,85.7072147877099,3323.65,1237.92167091999,2614.775,411.241789178418,1.27110363224369,0.964977866164393,6.08596341941467,1.317236049461,0.208858243904125,1.27110363224369,0.158557947142114,0.964977866164393,6.08596341941467,2.77643796842142e-10,2.52809995160419e-10,5.66489299913542e-10,0.998720759862255,0.65980365125938,0.572282369553208,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"24","P15311",105039.6,84242.1,82768.8,90165.3,46683.5,44834.7,41735.1,47684.2,37481.3,38058.9,32132.8,36156.4,63464.3,56935.7,57845.6,57969,"Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4",90553.95,10172.3991875073,35957.35,2671.18822561546,59053.65,2976.31741418821,45234.375,2614.46434459655,1.30550383419689,0.794912055267703,2.00188352331606,1.64232486543085,0.652137758761489,1.30550383419689,0.397082070964326,0.794912055267703,2.00188352331606,4.48435925060053e-07,5.52261413266919e-08,2.13604169305714e-05,0.144344659072187,0.0205770299884681,0.00041738601361907,"Up in MDAMB231","Up in HCC1806","Up in MDAMB231","Up in HCC1806","ns","Up in HCC1806"
"25","P06703",15084,11554.5,11169.7,14058,92023,67121.7,58299.9,77743.9,5641.3,6659,4771.4,6720.7,71864.6,58979,50636.7,39670.9,"Protein S100-A6 OS=Homo sapiens OX=9606 GN=S100A6 PE=1 SV=1",12966.55,1905.90422372164,5948.1,927.54850726705,55287.8,13588.4209592825,73797.125,14519.926928736,0.749186367355097,0.0806007009080638,0.175705354375255,9.29503538945209,4.26387898091628,0.749186367355097,0.458726492397747,0.0806007009080638,0.175705354375255,9.22888669241395e-06,0.75635298355151,0.0003205999407766,2.92384583600036e-06,0.0908764589129368,7.58115046581853e-05,"Up in MDAMB231","Up in MDAMB231","ns","ns","Up in MCF10A","Up in MCF10A"
"26","O00429",16821.5,17076.5,16381.8,17040.9,9192.6,9476.7,9718.7,9804,6348.7,7037.4,6390.7,6871.6,9784.3,9725.8,10745.7,12320.7,"Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2",16830.175,319.47687840176,6662.1,344.779088693035,10644.125,1211.58863309018,9548,274.510072674938,1.11480152911605,0.697748219522413,1.76269113950566,1.59771318353072,0.632442918745646,1.11480152911605,0.395842586307035,0.697748219522413,1.76269113950566,1.39807057042418e-08,3.08232439572009e-10,8.93128945245181e-08,0.000251966022755679,0.144485983657329,1.07220901177651e-05,"Up in MDAMB231","Up in HCC1806","ns","Up in HCC1806","Up in MCF10A","Up in HCC1806"
"27","P55263",9355.4,9935.6,9570.7,10210.5,4795.9,5298.5,4936.6,5070.4,6172.9,6581.7,5988.5,6646,5778.1,6289,6040.3,7721.6,"Adenosine kinase OS=Homo sapiens OX=9606 GN=ADK PE=1 SV=2",9768.05,379.939490796451,6347.275,317.971616919917,6457.25,868.328088915705,5025.35,213.825700045621,1.28493537763539,1.26305132975813,1.94375516133205,1.01732633295391,0.661058246016349,1.28493537763539,0.64979960176289,1.26305132975813,1.94375516133205,9.33824914062242e-08,3.38728171167535e-06,4.78782518342769e-06,0.0150256207658789,0.00883273330182588,0.989718176384307,"ns","Up in HCC1806","Up in MDAMB231","Up in HCC1806","Up in MCF7","Up in HCC1806"
"28","P61081",37485.3,24041.9,27607.6,30811.4,8870.4,9557,8488.2,10010.4,10043.5,11061.3,11406.4,9790.8,10443.4,9374.6,11510.6,13457.3,"NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens OX=9606 GN=UBE2M PE=1 SV=1",29986.55,5712.84797072937,10575.5,779.994559810088,11196.475,1741.29785576736,9231.5,682.037037117486,1.21285544061095,1.14558847424579,3.24828576071061,1.05871826391187,0.373383233483012,1.21285544061095,0.3526747825275,1.14558847424579,3.24828576071061,2.64954039130849e-06,5.38855663478888e-06,7.57584111998888e-06,0.921344558761491,0.796473063943485,0.991083981253736,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"29","P09382",6024.7,5279.8,5386.9,7034.5,50062.5,33173.3,65336.9,56450.2,5641.3,6510.6,7712.8,7647.5,28082,50710.5,25742.5,46671.7,"Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2",5931.475,805.522043460016,6878.05,992.208131727747,37801.675,12717.5848095921,51255.725,13585.0400525419,0.737511273130953,0.134190863557193,0.115723170436083,5.49598723475404,6.37306487846615,0.737511273130953,1.15958509476985,0.134190863557193,0.115723170436083,8.78095277896396e-05,0.998883862840731,0.00200290099897082,0.000107541140177525,0.227319228412891,0.00254466290573263,"Up in MDAMB231","Up in MDAMB231","ns","ns","Up in MCF10A","Up in MCF10A"
"30","Q8N163",4107.2,3835.9,3952.6,4100.7,6441,6272.3,7001.6,6766.4,7401.4,7911.6,6985.4,7870.3,7104.2,6188.9,5841.8,6106.9,"Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=2",3999.1,130.134110311888,7542.175,437.400216239849,6310.45,549.508534965564,6620.325,326.592196018215,0.953193385521104,1.13924542979385,0.60406399987916,0.836688355812481,1.57796754269711,0.953193385521104,1.88596809282088,1.13924542979385,0.60406399987916,3.48178489795181e-06,1.28202179983106e-07,1.29838127564952e-05,0.0271474668833402,0.687103170746122,0.00390438915715419,"ns","Up in MDAMB231","ns","Up in MCF7","ns","Up in MCF10A"
"31","Q96IU4",771.1,857.2,694.5,823.3,2075.7,1935.4,2173.4,1979,1134.6,1015.1,1102.5,1239.7,1659.9,1760.1,1165.3,1535.9,"Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1",786.525,70.8375783041741,1122.975,92.7651290446289,1530.3,260.038817615114,2040.875,106.033245572635,0.749825442518528,0.550241930544497,0.385386170147608,1.36271956187805,1.9456469915133,0.749825442518528,1.42776771240584,0.550241930544497,0.385386170147608,3.49331438442846e-07,0.0378692871900718,8.2484280498174e-05,9.99859565964378e-06,0.00230379884067611,0.0119467330516899,"Up in MDAMB231","Up in MDAMB231","Up in MCF10A","Up in MCF7","Up in MCF10A","Up in MCF10A"
"32","P14625",141562.9,167362.5,136456,168944.3,59664.5,66434.5,54935.7,59855.7,41366.3,47954.1,33113.3,39452.3,56761.3,62163.5,63546.7,69929.1,"Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1",153581.425,16967.2339233349,40471.5,6109.3329063,63100.15,5412.71027459134,60222.6,4725.29027115443,1.04778189583313,0.672031762162378,2.55022906682873,1.55912555749107,0.410857953688084,1.04778189583313,0.263518195641172,0.672031762162378,2.55022906682873,6.19553078839985e-08,7.14053594030872e-09,8.85041756548688e-08,0.0584877357448321,0.974102104733243,0.0282475142648663,"Up in MDAMB231","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
"33","Q02252",485.6,372.3,522.9,531,1641.8,1543.4,1359.3,1559.8,4820.8,4916.2,5574.9,5682,2220.7,1970.1,1992.6,1424.2,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Homo sapiens OX=9606 GN=ALDH6A1 PE=1 SV=2",477.95,73.1556559672593,5248.475,442.647258924455,1901.9,337.988392305614,1526.075,119.2248680715,1.24626902347526,3.43919859770981,0.313189063447078,0.362371927083581,3.97928653624856,1.24626902347526,10.9812218851344,3.43919859770981,0.313189063447078,0.00116561021760653,9.59192725247249e-11,7.21323606053259e-05,2.25292595690263e-09,0.298149659049448,7.12420322734886e-09,"Up in MCF7","Up in MDAMB231","ns","Up in MCF7","Up in MCF7","Up in MCF10A"
"34","Q9NPH2",4662.7,3803.4,3594.7,4874.2,1185.8,1075.9,916.7,1138.6,4102.1,4221.8,3200,4262.1,1731.9,1110.3,1851.5,1712.3,"Inositol-3-phosphate synthase 1 OS=Homo sapiens OX=9606 GN=ISYNA1 PE=1 SV=1",4233.75,629.2218289284,3946.5,502.283804238202,1601.5,333.195758276322,1079.25,117.344293995632,1.48390085707667,3.65670604586518,3.92286309937457,0.405802609907513,0.3782698553292,1.48390085707667,0.93215234720992,3.65670604586518,3.92286309937457,1.60404323312768e-06,0.792759264090672,1.08730318661987e-05,4.44696539902978e-06,0.374764344213785,3.51870946168065e-05,"Up in MCF7","Up in HCC1806","ns","ns","Up in MCF7","Up in HCC1806"
"35","P21589",2102.7,2211.9,1974.8,2311.1,6778,6773.8,8827.3,6207.8,1772.2,2245.8,1899.7,2263.7,6020.3,6409.9,4812.8,4146,"5'-nucleotidase OS=Homo sapiens OX=9606 GN=NT5E PE=1 SV=1",2150.125,144.588021057532,2045.35,247.441420677029,5347.25,1050.53314877098,7146.725,1151.94670992195,0.748209844369274,0.286194025934956,0.300854587241009,2.61434473317525,2.48694843323063,0.748209844369274,0.951270274984013,0.286194025934956,0.300854587241009,6.36137824705507e-06,0.997550232847294,0.000493175810438062,5.11514338219499e-06,0.0328426975131418,0.000369776383094655,"Up in MDAMB231","Up in MDAMB231","Up in MCF10A","ns","Up in MCF10A","Up in MCF10A"
"36","Q13126",3095.2,2592.1,2770.2,3198.9,736.1,693.6,731.6,728.7,710.3,806.3,609.6,642.3,1029.3,699.4,1092.8,1438.4,"S-methyl-5'-thioadenosine phosphorylase OS=Homo sapiens OX=9606 GN=MTAP PE=1 SV=2",2914.1,281.838878321167,692.125,86.9083185508346,1064.975,302.841128591654,722.5,19.5057256551335,1.47401384083045,0.95795847750865,4.03335640138408,1.53870326891819,0.365455886894753,1.47401384083045,0.237509007926976,0.95795847750865,4.03335640138408,2.66024791084618e-08,2.2750720418685e-08,1.83530131203646e-07,0.996871869967368,0.155211387573637,0.111899945798237,"ns","Up in HCC1806","ns","Up in HCC1806","ns","Up in HCC1806"
